id,question
1,What year was the United Nations established?
2,Which planet is known as the 'Red Planet'?
3,Who wrote the novel '1984'?
4,What is the chemical symbol for gold?
5,What is the capital city of Japan?
6,How many continents are there on Earth?
7,What is the largest mammal in the world?
8,Which country won the FIFA World Cup in 2018?
9,What is the primary ingredient in guacamole?
10,Who painted the Mona Lisa?
11,What is the hardest natural substance on Earth?
12,What language has the most native speakers worldwide?
13,What does the acronym 'NASA' stand for?
14,Which element has the highest electrical conductivity?
15,What is the longest river in the world?
16,Who is the author of 'Pride and Prejudice'?
17,What is the formula for water?
18,Which musical instrument has six strings typically?
19,What is the main gas found in the Earth's atmosphere?
20,Who discovered penicillin?
